campo,valor
dm_obras_de_infra_destruidas__tipo,
dm_obras_de_infra_destruidas__falt,
dm_obras_de_infra_destruidas__pct,
dm_obras_de_infra_valor__tipo,
dm_obras_de_infra_valor__falt,
dm_obras_de_infra_valor__pct,
dm_total_danos_materiais__tipo,
dm_total_danos_materiais__falt,
dm_total_danos_materiais__pct,
da_descricao__tipo,
da_descricao__falt,
da_descricao__pct,
da_polui_cont_da_agua__tipo,
da_polui_cont_da_agua__falt,
da_polui_cont_da_agua__pct,
da_polui_cont_do_ar__tipo,
da_polui_cont_do_ar__falt,
da_polui_cont_do_ar__pct,
da_polui_cont_do_solo__tipo,
da_polui_cont_do_solo__falt,
da_polui_cont_do_solo__pct,
da_dimi_exauri_hidrico__tipo,
da_dimi_exauri_hidrico__falt,
da_dimi_exauri_hidrico__pct,
da_incendi_parques_ap_as_ap_ps__tipo,
da_incendi_parques_ap_as_ap_ps__falt,
da_incendi_parques_ap_as_ap_ps__pct,
pepl_descricao__tipo,
pepl_descricao__falt,
pepl_descricao__pct,
pepl_assis_med_e_emergen_r__tipo,
pepl_assis_med_e_emergen_r__falt,
pepl_assis_med_e_emergen_r__pct,
pepl_abast_de_agua_pot_r__tipo,
pepl_abast_de_agua_pot_r__falt,
pepl_abast_de_agua_pot_r__pct,
pepl_sist_de_esgotos_sanit_r__tipo,
pepl_sist_de_esgotos_sanit_r__falt,
pepl_sist_de_esgotos_sanit_r__pct,
pepl_sis_limp_e_rec_lixo_r__tipo,
pepl_sis_limp_e_rec_lixo_r__falt,
pepl_sis_limp_e_rec_lixo_r__pct,
pepl_sis_cont_pragas_r__tipo,
pepl_sis_cont_pragas_r__falt,
pepl_sis_cont_pragas_r__pct,
pepl_distrib_energia_r__tipo,
pepl_distrib_energia_r__falt,
pepl_distrib_energia_r__pct,
pepl_telecomunicacoes_r__tipo,
pepl_telecomunicacoes_r__falt,
pepl_telecomunicacoes_r__pct,
pepl_tran_loc_reg_l_curso_r__tipo,
pepl_tran_loc_reg_l_curso_r__falt,
pepl_tran_loc_reg_l_curso_r__pct,
pepl_distrib_combustiveis_r__tipo,
pepl_distrib_combustiveis_r__falt,
pepl_distrib_combustiveis_r__pct,
pepl_seguranca_publica_r__tipo,
pepl_seguranca_publica_r__falt,
pepl_seguranca_publica_r__pct,
pepl_ensino_r__tipo,
pepl_ensino_r__falt,
pepl_ensino_r__pct,
pepl_total_publico__tipo,
pepl_total_publico__falt,
pepl_total_publico__pct,
pepr_descricao__tipo,
pepr_descricao__falt,
pepr_descricao__pct,
pepr_agricultura_r__tipo,
pepr_agricultura_r__falt,
pepr_agricultura_r__pct,
pepr_pecuaria_r__tipo,
pepr_pecuaria_r__falt,
pepr_pecuaria_r__pct,
pepr_industria_r__tipo,
pepr_industria_r__falt,
pepr_industria_r__pct,
pepr_comercio_r__tipo,
pepr_comercio_r__falt,
pepr_comercio_r__pct,
pepr_servicos_r__tipo,
pepr_servicos_r__falt,
pepr_servicos_r__pct,
pepr_total_privado__tipo,
pepr_total_privado__falt,
pepr_total_privado__pct,
pe_p_le_pr__tipo,
pe_p_le_pr__falt,
pe_p_le_pr__pct,
ano__tipo,
ano__falt,
ano__pct,
mes__tipo,
mes__falt,
mes__pct,
mes_nome__tipo,
mes_nome__falt,
mes_nome__pct,
ano_mes__tipo,
ano_mes__falt,
ano_mes__pct,
