nome_municipio,mes_nome,ano,n_eventos
Governador Celso Ramos,Fev,2000,1
Governador Celso Ramos,Fev,2015,1
Governador Celso Ramos,Abr,2009,1
Governador Celso Ramos,Mai,2010,1
Governador Celso Ramos,Out,2023,1
Governador Celso Ramos,Nov,2008,1
Governador Celso Ramos,Nov,2023,1
Governador Celso Ramos,Dez,2022,2
Imaruí,Jan,2008,1
Imaruí,Mar,1996,1
Imaruí,Mai,2019,1
Imaruí,Mai,2022,1
Imaruí,Jun,2021,1
Imaruí,Ago,2011,1
Imaruí,Out,2022,1
Imaruí,Out,2023,2
Imaruí,Nov,2022,1
Imaruí,Dez,1995,1
Imaruí,Dez,1996,1
Imaruí,Dez,2017,1
Imbituba,Jan,2018,1
Imbituba,Fev,2016,1
Imbituba,Mar,1996,1
Imbituba,Abr,2004,1
Imbituba,Abr,2024,1
Imbituba,Mai,2019,1
Imbituba,Jun,2017,1
Imbituba,Jul,2024,1
Imbituba,Set,2001,1
Imbituba,Out,2023,1
Imbituba,Nov,2023,1
Imbituba,Dez,1998,1
Itajaí,Jan,1999,1
Itajaí,Jan,2008,1
Itajaí,Fev,1995,1
Itajaí,Fev,2008,1
Itajaí,Mar,2013,1
Itajaí,Mar,2023,1
Itajaí,Abr,2010,1
Itajaí,Abr,2016,1
Itajaí,Mai,2012,1
Itajaí,Mai,2013,2
Itajaí,Mai,2022,1
Itajaí,Jun,2017,1
Itajaí,Jun,2021,1
Itajaí,Jul,2009,1
Itajaí,Ago,2022,1
Itajaí,Set,2011,2
Itajaí,Out,2001,1
Itajaí,Out,2013,1
Itajaí,Out,2015,2
Itajaí,Out,2016,1
Itajaí,Out,2023,1
Itajaí,Out,2024,1
Itajaí,Nov,2003,1
Itajaí,Nov,2008,1
Itajaí,Nov,2022,1
Itajaí,Nov,2023,1
Itajaí,Dez,2022,1
Itapema,Jan,2008,1
Itapema,Jan,2018,1
Itapema,Jan,2020,1
Itapema,Fev,2019,1
Itapema,Mar,2004,1
Itapema,Mar,2016,1
Itapema,Mar,2021,1
Itapema,Mar,2023,1
Itapema,Abr,2016,1
Itapema,Mai,2010,1
Itapema,Mai,2015,1
Itapema,Set,2011,1
Itapema,Nov,2008,1
Itapema,Nov,2015,1
Itapema,Dez,2022,1
Itapoá,Jan,2003,1
Itapoá,Jan,2008,1
Itapoá,Jan,2010,1
Itapoá,Jan,2011,1
Itapoá,Jan,2021,1
Itapoá,Jan,2024,2
Itapoá,Fev,1998,1
Itapoá,Fev,2020,1
Itapoá,Fev,2022,1
Itapoá,Mar,1994,1
Itapoá,Mar,2018,1
Itapoá,Mar,2019,1
Itapoá,Mar,2021,1
Itapoá,Mar,2023,1
