nome_municipio,ano,categoria_evento,n_eventos
Joinville,1994,Enxurradas,1
Joinville,1995,Enxurradas,2
Joinville,1998,Enxurradas,1
Joinville,1999,Inundações,1
Joinville,2001,Enxurradas,1
Joinville,2002,Movimento de Massa,1
Joinville,2003,Inundações,1
Joinville,2006,Inundações,1
Joinville,2007,Enxurradas,1
Joinville,2008,Enxurradas,2
Joinville,2010,Alagamentos,1
Joinville,2010,Enxurradas,1
Joinville,2011,Alagamentos,1
Joinville,2011,Enxurradas,1
Joinville,2011,Inundações,1
Joinville,2013,Inundações,1
Joinville,2015,Chuvas Intensas,1
Joinville,2015,Inundações,1
Joinville,2016,Enxurradas,1
Joinville,2016,Inundações,1
Joinville,2017,Alagamentos,1
Joinville,2017,Chuvas Intensas,2
Joinville,2017,Inundações,1
Joinville,2018,Chuvas Intensas,1
Joinville,2019,Chuvas Intensas,1
Joinville,2020,Chuvas Intensas,2
Joinville,2021,Chuvas Intensas,1
Joinville,2021,Enxurradas,1
Joinville,2022,Chuvas Intensas,3
Joinville,2023,Chuvas Intensas,3
Joinville,2023,Enxurradas,1
Joinville,2024,Alagamentos,1
Joinville,2024,Chuvas Intensas,4
Laguna,1996,Enxurradas,1
Laguna,2001,Inundações,1
Laguna,2004,Enxurradas,2
Laguna,2009,Enxurradas,1
Laguna,2011,Movimento de Massa,1
Laguna,2016,Alagamentos,1
Laguna,2019,Alagamentos,1
Laguna,2021,Chuvas Intensas,1
Laguna,2022,Chuvas Intensas,1
Laguna,2022,Movimento de Massa,1
Laguna,2023,Chuvas Intensas,1
Navegantes,1992,Inundações,1
Navegantes,2001,Inundações,1
Navegantes,2002,Enxurradas,1
Navegantes,2003,Enxurradas,1
Navegantes,2008,Enxurradas,2
Navegantes,2009,Enxurradas,2
Navegantes,2010,Enxurradas,1
Navegantes,2011,Enxurradas,1
Navegantes,2018,Enxurradas,1
Navegantes,2019,Alagamentos,1
Navegantes,2019,Chuvas Intensas,1
Navegantes,2020,Enxurradas,1
Navegantes,2020,Movimento de Massa,1
Navegantes,2022,Chuvas Intensas,1
Navegantes,2023,Alagamentos,1
Palhoça,1991,Inundações,1
Palhoça,1995,Inundações,1
Palhoça,1996,Enxurradas,1
Palhoça,1997,Enxurradas,1
Palhoça,2001,Enxurradas,2
Palhoça,2005,Enxurradas,1
Palhoça,2008,Enxurradas,2
Palhoça,2010,Enxurradas,1
Palhoça,2011,Enxurradas,2
Palhoça,2020,Inundações,1
Palhoça,2021,Chuvas Intensas,3
Palhoça,2022,Chuvas Intensas,1
Palhoça,2023,Chuvas Intensas,2
Palhoça,2024,Chuvas Intensas,1
Passo de Torres,1993,Enxurradas,1
Passo de Torres,1995,Inundações,1
Passo de Torres,1998,Enxurradas,1
Passo de Torres,2004,Inundações,1
Passo de Torres,2009,Enxurradas,1
Passo de Torres,2013,Inundações,1
Passo de Torres,2014,Alagamentos,1
Passo de Torres,2022,Chuvas Intensas,1
Passo de Torres,2023,Chuvas Intensas,1
Passo de Torres,2024,Chuvas Intensas,1
Penha,2008,Enxurradas,2
Penha,2010,Enxurradas,1
Penha,2011,Enxurradas,1
Penha,2011,Inundações,2
Penha,2013,Inundações,1
Penha,2016,Enxurradas,1
Penha,2017,Alagamentos,1
Penha,2017,Chuvas Intensas,2
Penha,2017,Movimento de Massa,1
Penha,2018,Alagamentos,1
Penha,2018,Chuvas Intensas,2
Penha,2019,Chuvas Intensas,2
Penha,2020,Chuvas Intensas,1
Penha,2022,Alagamentos,1
Penha,2022,Chuvas Intensas,1
Pescaria Brava,2013,Enxurradas,1
Pescaria Brava,2015,Enxurradas,1
Pescaria Brava,2018,Alagamentos,1
Pescaria Brava,2019,Enxurradas,1
Pescaria Brava,2021,Chuvas Intensas,1
Pescaria Brava,2023,Chuvas Intensas,1
Porto Belo,2000,Enxurradas,1
Porto Belo,2004,Enxurradas,2
Porto Belo,2008,Enxurradas,1
Porto Belo,2011,Enxurradas,1
Porto Belo,2016,Enxurradas,1
Porto Belo,2017,Chuvas Intensas,1
Porto Belo,2017,Movimento de Massa,1
Porto Belo,2018,Alagamentos,1
Porto Belo,2018,Chuvas Intensas,2
Porto Belo,2019,Alagamentos,1
Porto Belo,2019,Chuvas Intensas,1
Porto Belo,2020,Chuvas Intensas,3
Porto Belo,2020,Movimento de Massa,1
Porto Belo,2021,Alagamentos,1
Porto Belo,2021,Chuvas Intensas,2
Porto Belo,2022,Alagamentos,1
Porto Belo,2022,Chuvas Intensas,3
Porto Belo,2023,Chuvas Intensas,1
Porto Belo,2024,Chuvas Intensas,1
Santa Rosa do Sul,2001,Enxurradas,1
Santa Rosa do Sul,2001,Inundações,1
Santa Rosa do Sul,2002,Enxurradas,1
Santa Rosa do Sul,2004,Inundações,1
Santa Rosa do Sul,2009,Enxurradas,1
Santa Rosa do Sul,2011,Enxurradas,3
Santa Rosa do Sul,2013,Inundações,1
Santa Rosa do Sul,2014,Enxurradas,1
Santa Rosa do Sul,2015,Enxurradas,1
Santa Rosa do Sul,2017,Enxurradas,1
Santa Rosa do Sul,2021,Chuvas Intensas,1
Santa Rosa do Sul,2021,Enxurradas,2
Santa Rosa do Sul,2022,Chuvas Intensas,2
Santa Rosa do Sul,2023,Alagamentos,1
Santa Rosa do Sul,2023,Chuvas Intensas,2
Santa Rosa do Sul,2024,Chuvas Intensas,2
Sombrio,1995,Inundações,1
Sombrio,2001,Inundações,1
Sombrio,2003,Enxurradas,1
Sombrio,2004,Inundações,1
Sombrio,2009,Enxurradas,1
Sombrio,2013,Inundações,1
Sombrio,2014,Alagamentos,1
Sombrio,2021,Chuvas Intensas,1
Sombrio,2022,Chuvas Intensas,1
Sombrio,2023,Chuvas Intensas,5
Sombrio,2024,Chuvas Intensas,2
São Francisco do Sul,1994,Enxurradas,1
São Francisco do Sul,2001,Inundações,1
São Francisco do Sul,2008,Enxurradas,1
São Francisco do Sul,2009,Enxurradas,1
São Francisco do Sul,2010,Enxurradas,1
São Francisco do Sul,2016,Chuvas Intensas,1
São Francisco do Sul,2017,Movimento de Massa,1
São Francisco do Sul,2018,Alagamentos,1
São Francisco do Sul,2018,Movimento de Massa,1
São Francisco do Sul,2020,Chuvas Intensas,1
São Francisco do Sul,2021,Chuvas Intensas,3
São Francisco do Sul,2022,Alagamentos,2
São Francisco do Sul,2022,Chuvas Intensas,1
São Francisco do Sul,2023,Chuvas Intensas,1
São Francisco do Sul,2024,Chuvas Intensas,2
São José,1991,Enxurradas,1
São José,1997,Enxurradas,1
São José,2000,Enxurradas,1
São José,2001,Enxurradas,2
São José,2004,Enxurradas,1
São José,2008,Enxurradas,2
São José,2010,Enxurradas,2
São José,2011,Enxurradas,2
