protocolo_s2i_d,nome_municipio,sigla_uf,regiao,data_registro,data_evento,cod_cobrade,tipologia,descricao_tipologia,grupo_de_desastre,cod_ibge_mun,setores_censitarios,status,dh_descricao,dh_mortos,dh_feridos,dh_enfermos,dh_desabrigados,dh_desalojados,dh_desaparecidos,dh_afetados_seca_estiagem,dh_total_danos_humanos_diretos,dh_outros_afetados,dm_descricao,dm_uni_habita_danificadas,dm_uni_habita_destruidas,dm_uni_habita_valor,dm_inst_saude_danificadas,dm_inst_saude_destruidas,dm_inst_saude_valor,dm_inst_ensino_danificadas,dm_inst_ensino_destruidas,dm_inst_ensino_valor,dm_inst_servicos_danificadas,dm_inst_servicos_destruidas,dm_inst_servicos_valor,dm_inst_comuni_danificadas,dm_inst_comuni_destruidas,dm_inst_comuni_valor,dm_obras_de_infra_danificadas,dm_obras_de_infra_destruidas,dm_obras_de_infra_valor,dm_total_danos_materiais,da_descricao,da_polui_cont_da_agua,da_polui_cont_do_ar,da_polui_cont_do_solo,da_dimi_exauri_hidrico,da_incendi_parques_ap_as_ap_ps,pepl_descricao,pepl_assis_med_e_emergen_r,pepl_abast_de_agua_pot_r,pepl_sist_de_esgotos_sanit_r,pepl_sis_limp_e_rec_lixo_r,pepl_sis_cont_pragas_r,pepl_distrib_energia_r,pepl_telecomunicacoes_r,pepl_tran_loc_reg_l_curso_r,pepl_distrib_combustiveis_r,pepl_seguranca_publica_r,pepl_ensino_r,pepl_total_publico,pepr_descricao,pepr_agricultura_r,pepr_pecuaria_r,pepr_industria_r,pepr_comercio_r,pepr_servicos_r,pepr_total_privado,pe_p_le_pr,ano,mes,mes_nome,categoria_evento
SC-A-4208302-12200-20040314,Itapema,SC,Sul,2004-03-14,2004-03-14,12200,2,Enxurradas,Hidrológico,4208302,NA,Reconhecido,NA,2,124,200,600,4000,0,0,4926,2000,NA,5000,100,11205605.615100065,7,1,1192854.7912848457,9,1,1988091.318808076,0,0,0,15,0,271103.36165564676,0,4,5158193.294434772,19815848.381283406,NA,NA,NA,NA,NA,NA,NA,1626620.1699338804,1409737.480609363,0,151817.88252716218,0,0,0,42292.12441828089,0,0,2060385.5485829152,5290853.206071601,NA,129045.20014808784,12290.019061722653,0,0,3499040.721102214,3640375.940312024,8931229.146383626,2004,3,Mar,Enxurradas
SC-A-4213500-12200-20040314,Porto Belo,SC,Sul,2004-03-14,2004-03-14,12200,2,Enxurradas,Hidrológico,4213500,NA,Reconhecido,NA,0,5,13,48,147,0,0,213,15,NA,16,12,534977.3003338096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217605.6316222658,752582.9319560754,NA,NA,NA,NA,NA,NA,NA,0,0,0,9759.721019603283,0,8675.307572980695,0,217605.6316222658,0,0,0,236040.66021484975,NA,0,0,0,0,65064.80679735522,65064.80679735522,301105.467012205,2004,3,Mar,Enxurradas
SC-A-4202453-12200-20040405,Bombinhas,SC,Sul,2004-04-05,2004-04-05,12200,2,Enxurradas,Hidrológico,4202453,NA,Registro,NA,0,26,32,0,116,0,0,174,4,NA,450,3,3705079.2759605055,2,0,65064.80679735522,1,0,234956.24676822717,0,0,0,0,0,0,0,1,1388049.2116769112,5393149.541202999,NA,NA,NA,NA,NA,NA,NA,0,21688.268932451738,54220.672331129346,466297.78204771236,0,56389.49922437452,7229.422977483913,18073.557443709782,0,0,9832.015249378122,633731.2182062399,NA,0,0,0,0,45183.893609274455,45183.893609274455,678915.1118155143,2004,4,Abr,Enxurradas
SC-A-4207304-12200-20040409,Imbituba,SC,Sul,2004-04-09,2004-04-09,12200,2,Enxurradas,Hidrológico,4207304,NA,Registro,NA,0,0,0,0,0,0,0,0,11,NA,3,1,234956.24676822717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210928.3487285555,1445884.5954967826,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,361471.14887419564,0,0,0,361471.14887419564,NA,0,0,0,0,0,0,361471.14887419564,2004,4,Abr,Enxurradas
SC-A-4213500-12200-20040411,Porto Belo,SC,Sul,2004-04-11,2004-04-11,12200,2,Enxurradas,Hidrológico,4213500,NA,Registro,NA,0,8,21,27,89,0,0,145,216,NA,42,3,440994.8016265187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303635.76505432435,744630.566680843,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,65064.80679735522,65064.80679735522,65064.80679735522,2004,4,Abr,Enxurradas
SC-A-4217709-12100-20040503,Sombrio,SC,Sul,2004-05-03,2004-05-03,12100,7,Inundações,Hidrológico,4217709,NA,Registro,NA,0,0,28,30,65,0,0,123,42,NA,64,0,1388049.2116769112,0,0,0,0,0,0,0,0,0,3,0,162662.01699338804,2,4,1599509.8337683158,3150221.062438615,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,189772.35315895273,0,0,159047.3055046461,348819.6586635988,NA,1084413.446622587,48798.605098016415,0,0,0,1133212.0517206034,1482031.7103842022,2004,5,Mai,Inundações
SC-A-4216404-12100-20040503,São João do Sul,SC,Sul,2004-05-03,2004-05-03,12100,7,Inundações,Hidrológico,4216404,NA,Registro,NA,0,10,0,6,34,0,0,50,0,NA,3,2,137359.03657219434,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3000210.535655824,3137569.572228018,NA,NA,NA,NA,NA,NA,NA,10844.134466225869,108441.34466225869,108441.34466225869,0,0,0,3614.7114887419566,1445884.5954967826,0,0,10844.134466225869,1688070.2652424937,NA,1460343.4414517505,0,0,0,0,1460343.4414517505,3148413.706694244,2004,5,Mai,Inundações
SC-A-4209409-12200-20040504,Laguna,SC,Sul,2004-05-04,2004-05-04,12200,2,Enxurradas,Hidrológico,4209409,NA,Registro,NA,0,0,0,12,0,0,0,12,12,NA,10,0,253029.80421193695,0,0,0,2,0,144588.45954967826,0,0,0,0,0,0,0,0,1807355.7443709783,2204974.0081325932,NA,NA,NA,NA,NA,NA,NA,0,0,7229.422977483913,289176.9190993565,0,0,0,1626620.1699338804,0,0,33038.46300710148,1956064.9750178223,NA,0,0,0,0,0,0,1956064.9750178223,2004,5,Mai,Enxurradas
SC-A-4202073-12200-20040506,Balneário Gaivota,SC,Sul,2004-05-06,2004-05-06,12200,2,Enxurradas,Hidrológico,4202073,NA,Registro,NA,0,0,0,12,0,0,0,12,80,NA,30,0,216882.68932451739,0,0,0,0,0,0,0,0,0,0,0,0,0,310,300021.0535655824,516903.74289009976,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,231341.53527948522,0,0,0,231341.53527948522,NA,0,0,0,0,0,0,231341.53527948522,2004,5,Mai,Enxurradas
SC-N-4208807-12200-20040507,Jaguaruna,SC,Sul,2004-05-07,2004-05-07,12200,2,Enxurradas,Hidrológico,4208807,NA,Registro,NA,0,0,0,10,10,0,0,20,3000,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2004,5,Mai,Enxurradas
